Title,reviews,stars,sentiment
My customer support was so great I…,Very secure and great people to help u along the way.,5,1
Great customer service and same day…,Their customer service is excellent and always willing to resolve your specific situation.,5,1
Good Experience with CashNet,Everything was very professional and accurate,5,1
Customer service was prompt and…,I really appriciated the help. Good people!,5,1
They were a great place to borrow money…,I have covid. She helped resolve my payment so that it wouldn't default again.,5,1
Good,I have to say cash net USA is out there to help and do what they can to work with you . I’d definitely keep my communication with cash net USA . Together we can accomplish a great outcome on business . Cash net USA .. # 1,5,1
Very Friendly and Helpful,"I needed a loan and they helped me, I was approved almost instantly, and had my money within a few hours!! Great place with great people!",5,1
This has blessed me very much.,CashNetUSA is among the best at financing. I highly recommend their services. Quick response and they always answer their emails and phone inquiries.,5,1
I was very satisfied with how she…,"Listened to my concerns, solved my problem.",4,1
Great company and quickest/best way to…,"👍 good reliable, flexible.Been with Cashnet for 8 years now",5,1
Wonderful,The personal for customer service is outstanding. Courteous and very helpul.,5,1
Received much needed funds for…,You help me  get approved at this difficult time thanks,5,1
Very professional and courteous were…,"The process was easy. I don't know yet whether I was approved for a loan or not but the 2 individuals that I had contact with were very helpful, friendly and professional.",5,1
prompt service,Raymond was very helpful. And did a wonderful job. Great information. He was excellent!,5,1
I can’t say anything negative about…,"This is so trusty, honest and so clear about loans. Thank you",5,1
She was very helpful and helped me with…,I needed money fast and cash net USA was there for me.,5,1
It was not so bad to understand …,once again. A five star rating for cashnetusa. Been a member for years. They have never disappointed me when in need.,5,1
Very helpful,The  Associate very helpful with my helping me with my account,5,1
Great customer,No review till I see her follow through.,5,1
SPECIAL AND WAS SO VERY HELPFUL,"Very  helpful, and willing to work with you;on paying back the money after the loan. And give reasonable loans.",5,1
Got help done where no one else could for 3 days. Thank you.,The process was easy but the part that wasn’t clear is payment was due every 2 weeks. To me that’s not right especially if you have a 3 week pay period in a month.,5,1
They were happy,Very customer friendly. Representative was attentive to my needs and helped through entire process.,5,1
Very nice and helpful.,"I found the whole process to be very easy and when I need to call, your representatives are always kind and helpful.",5,1
Very fast and friendly service,Made known to me the difference in loans payout.,5,1
Services,Friendly and fast.  Helps out when you are in a jam.,5,1
Always there when I need it!,Kianta was very helpful with the problem I had and explained how it was taking care of to help me,5,1
Awesome service!!,Great customer service very fast and efficient.,5,1
very kind,For a 1500.00 loan i would have paided over 6000.00 back had i not closed out this account with a full payment of 1.419.00 so I would never borrow from cashnet ever again.,5,1
Always on time,It’s my first time i using this cash net app and the lady was polite and helpful and she didn’t judge me .,5,1
You guys and gals are lifesavers,Concerned about my well-being and blessed my day,5,1
Excellent job,Alexis was very helpful guided me very well and demonstrated great knowledge got the payment done and taken care of thank you,5,1
Excellent service,Doris was helpful and cleared up a matter that wasn’t even needed after. Helpful and polite.,5,1
Great,"very sastified with the customer service representive, very courteous, respecteful, and very professional. i certainty recommen Cashnet Usa to my friends and family member. fast cash same day.",5,1
Great!!!,Friendly and solved all my problems.  Got a approved with no hesitation,5,1
HAPPY CAMPER,I'm so glad I found CashNetUSA....They are always willing to help just when you need some quick cash... Thanks again CashNetUSA‼️🤍,5,1
CashNet is very professional and a…,I got this loan in a state of desperation and I regret it. I’m done paying on it. All these payments I’ve made and not one has been towards the principal balance. It’s been ALL INTEREST. Thanks for nothing ✌🏽,5,1
great service all the time,Cashnet was very helpful and they worked with me,5,1
Great great great no other words I can…,"She recognized, I have been having some hard times and she help made making my payments easier for me Thank you Sharon.",5,1
Very helpful,Thanks for your assistance it was very much appreciated,5,1
Thank you,😘😘awesome,5,1
Best all around customer service.,Thus far I've had a pleaseant experience with CashNetUSA.,5,1
Basic question,death in family and needed flight fast they helped me,5,1
Great,Absolutely the best customer service.  Nice and helpful every time,5,1
Cashnet has always been extremely…,"When I’m in a pinch, I use cash net USA, I get help every time.",5,1
Customer service was great and the…,Everything was excellent the lady showed great knowledge and respect and never lost a cool although I did and she was she was great and I apologize for my behavior to her and she accepted my apology,5,1
Very happy with CashNetUSA,Thank You Very Helpful,5,1
CashNetUSA review,Solved my payment preference,5,1
Fast and friendly service,"I have used them for a while when i am in a pinch, it is fast and easy and the customer service is outstanding. I love dealing with CashNetUSA and will continue doing so and continue referring people!! Thank you CashNet!!!",5,1
They said I was preapproved for 1300…,Eager was very helpful he got me in the steps when I needed to do and he showed enthusiasm very polite great customer service!!!!,5,1
I was not clear about the payments,I appreciate the service and friendliness of the agent who served me. The interest rate is too high. When you have made all payments on time never late. A returning customer should be rewarded with a lower interest rate.,5,1
Even though dealing with these types of…,I was totally satisfied with the service I was provided with and micheala  was the person that served me today ..she was fantastic 👏 👌 🙌 👍 and so much patience...thanks guy's I appreciate  each of u and looking forward to continuing business with them...,5,1
Easy application and process.,"They are always helpful, and very courteous. Easy to do business with. I would do an overall rating of 5,but, the interest is extremely high. I would suggest, if a customer has had loans in the past, and paid in full, perhaps, the interest could be lowered.",5,1
She was very professional and I thank…,It's nice to have somewhere to come to when u need little extra money if I ever need it!!,5,1
I appreciate you all for all that you do,"I am giving this company a 1 star because I have steady income from a job I've had for 9 months. And I requested to borrow like 100 bucks until Friday (today is Tuesday) and I was denied...... Smh I am a us citizen, I have will fill and steady employment, and I make enough to pay back the loan on time. So I am not happy with this denial at all!!!",5,1
I have been using Cashnet for many years…,"I love CashNetUSA! They saved me when my paycheck was messed up and I was going to be unable to pay my bills until my next paycheck in two weeks. I sat up all night crying because I wasn't sure if my credit score was good enough for a loan or if I would even get enough money or even considered. I was approved right away and they even offered 40$ a month for payments! I don't want to hear about you all complaining about the interest and payment fees. IT'S A LOAN It's not suppose to be given to you ALL THE TIME, they're there to help you when times get rough and you need emergency funding temporarily. Thank you, CashNetUSA for your amazing customer service and helping me when I was in a tight spot!",5,1
Fast friendly service,CashNetUSA is available & helpful when I need them. Thanks!!!,5,1
Thank you really helped me out  a great…,Have been a customer for quite sometimes. CashNetUSA has been very helpful throughout,5,1
Very helpful,Been with this company for years never had a problem with them until they owed me money for taking out of my banking account in error. Got an email saying they would be sending me a check by mail in Jan it is now March and I've called them 7x in this regard. They keep telling me a manager will call or email over and over. When I ask to speak to a manager of course there isn't one available. I should make them pay interest on the money they owe me for 2 months. Customer Service reps have a very bad mannerism and needs retraining or moved to a different dept!,5,1
Jeff was very respectful and he…,Cashnet USAis there when you need extra money. The workers are nice.,5,1
I am not a bot or a paid reviewer,"I was in a Car crash , no work but they are working with me!",5,1
Quick friendly customer service,Do not use ! interest and monthly payments are way to high. Don’t get caught up with these people!,5,1
It is a wonderful uncomplicated process!,Won’t accept me. Wouldn’t suggest this site!,4,1
Cashnet USA was simple and easy and…,Andre took care of my problem. He was very polite. Very understanding. I told him I couldn't have my payment come out until the 3rd of each month and he took care of it. I appreciate people like Andre. Very nice guy recommend him to anybody.,5,1
Very fast and convenient,"I was able to upload the documents, so there was no problem! Thank you.Susan Gannon",5,1
I was amazed at the quick access to the…,I love how the representative put me first and solved my problem,5,1
Great customer service.,They're expensive but provided me a loan when no other financial institution would.,5,1
After I submitted the requested…,The representative was very professional. Understanding and helpful.,5,1
Smooth and easy!,My experience with CashNetUSA has been a good one anytime that I needed something they've been right there and I appreciate that and there's no delay or anything and such and all is appreciated,5,1
My experience with using CashNetUSA was…,"Got great response from the worker courtness,and pleasant.",5,1
Great experience,I needed to extend  my payment date and she was spot on top of it very nice,4,1
Quick and easy process!,"Fast professional way to get a loan, give me all my options, very informative",5,1
This was the fastest and easiest loan…,Cash net was very easy and took care of my needs thoroughly and quickly,5,1
The app is very easy to use,"Getting the loan isn't difficult,  but it tells you when you're eligible for another loan once that one is paid off. They do not honor those dates. When you ask why,  they say that vericheck hasn't cleared you. I can go down the street and vericheck has cleared me the very next day after payment is made. I don't agree with that. Customer service people are wonderful!!",5,1
Everything was very easy and quick,This company should be closed down till they are educated on how not to take advantage of people...300%interest is totally unheard of..then they take 2 payments out at a time..,5,1
Cashnetusa has always come thru when I…,"This company say they only deal with a small amount of bank accounts, i have an online only bank and they won’t help me because of that. Some people can only have that type of account and because of that y’all won’t help, I will definitely not recommend y’all to anyone ever",5,1
Excellent,I called to discuss my upcoming payment and Immediately was connected to a friendly customer service representative.  She answered my questions and gave me options.,5,1
Un painful!,We suddenly had to evacuate for a large hurricane and had no money. We applied while on the road with our children not knowing what we were going to do. They were very quick in a pinch; honest and easy to use and understand. All customer service experiences were very good. I’m glad I paid my loan off but I will most definitely keep them in mind if I ever need help in a pinch again.,5,1
Very quick approval,They will lend you cash when you need it!,5,1
I he ad a great experience with…,Cashnet USA is Awesome!,5,1
Helpful,I would never get another loan from you guys again,3,1
I love it,"I have been a CashNet customer for years.  I appreciate the excellent customer service that I have received each time I needed to contact a representative. If anyone is in need of emergency funds, I strongly recommend this company. LBHazel (Columbia SC)",5,1
Outstanding Customer Service,They have always been right on time with everything,5,1
They are very professional I would work…,"This company has obviously horrible interest rates, but the customer service is great and extremely helpful.",5,1
Got cash fast,Amazing service and quick service,4,1
Shaquila Was very kind and efficient,I needed money fast for My unexpected expenses..I received a pre-Approved credit limit..so I took the chance to apply..Jonathon helped me thru the whole process..even let me know before I got off the phone..Thanks..CashNet USA!!,5,1
He took care of the problem,A really good company to work with ready to help you when I here is a issue that came up in my life,5,1
Great team,Very helpful in resolving my situation. I had no idea  Payment arrangements are allowed.,5,1
Thank you for your professional…,An easy and pain free way to get a small loan when needed…,5,1
They were there for me when I needed them.,I’ve been off work for a month now dealing with health issues! They’re very understanding and considerate of certain situations,5,1
Cashnet has been extra cash saver the…,"Discussed this issues to my families, friends, relatives,Co-retired workers, tax preparer etc. regarding the tax form I received form CNU by telling them that I called this Company & the lady her name is JANILA whom I talk with was very helpful advised me to cancel or ignore the tax statement form that I received.So I just want to see thank you JANILA for your help as well as the CNU.",5,1
Always great customer service and…,"CashnetUSA is great, always there when you need them and they're friendly to talk to.",5,1
There representative was great and…,I have gotten behind on payment. They completely understand where I was coming from and help me resolve my issue and get me back on track. I appreciate there patience and being lenient with me.,5,1
Very helpful,It was good review,5,1
Polite and knowledgable,Customer service were polite and guided me through process,5,1
Cashnet has always been very helpful…,Still don't know if rather or not I'm approved,5,1
I have know more comments other than everything was okay.,My experience with CashNetUSA has been nothing short of amazing. They helped when help was needed I will use them again.,4,1
She was great,Great people and there when you need them,5,1
Very friendly and helpful I will…,OK As For As I kNOW.,5,1
Very accommodating and friendly.,I didn't really get the help that I needed which was a loan  and I am really needing one because I am trying to get me a car and get married,5,1
Kesha is very awesome and a team…,Applied for a loan they were very fast and accomidated me for what need. Customer service was polite,5,1
Great,Tribal Loans are Loan Sharking at 275 percent interest adds up too about 100 dollars every 3 days. They are protected through tribal law and have found a loop hole on how to prey on the weak.I accepted a loan but thought There was a 35% cap in this State. Try 275. % that is insane,5,1
Quick and easy.,"I called for a extension, was taken care of properly",4,1
Excellent Communication and Efficiency.,Good work and costumer service I appreciate all of your help thanks,5,1
Thank you CashNetUSA!!,great service but no confirmation of loan ok,5,1
Demita was very helpful  I appreciate…,"I really like this company, very informational and easy to understand when it comes to agreement terms.",5,1
Very reasonable and efficient for a…,"Cashnetusa is a very helpful and trustworthy company to borrow quick cash from. I’ve borrowed from many lenders and this one is the most efficient and easy one I’ve dealt with. Money comes on time, payments are easy to make and the staff is very knowledgeable and helpful.",5,1
I needed to get my checking account to…,Once again Alicia did a wonderful job and I'm very happy to have the service by her great employee,5,1
Always treated with respect &…,Cashnet is my #1 go to for my loan needs.,5,1
Good review no issues.,Don’t no i need someone to help to get a. Loan,5,1
Solved problem just wish I was offered…,Very  helpful  l felt great it's  was a great exchange.,5,1
I like that I have options with a more…,"WITH LESS THAN AVERAGE CREDIT,CASHNET.USA GAVE ME A CHANCE  WHEN I NEEDED IT THE MOST.  NOW I'M BACK ON TRACK AND REBUILDING MY CREDIT IS NO LONGER OVERWHELMING.  THANK GOD FOR A SECOND CHANCE.",5,1
Very nice helping company.,Thanks  I appreciate the call back it really helped with the process,5,1
Great company.,Apparently you can not get a new loan with Cashnetusa when you have one with Netcredit.  What a joke.  I have always paid my loans off with this company and now they want to turn their back on you.  What a jole.,5,1
Most Awesome and Professional Services,Cashnet USA is a top notch operation & I have been doing business with them for many years now. Trenton was the last rep that I spoke with & he is awesome!,5,1
I enjoyed being helped by Kimberly.,"Cash Net USA helped me when I needed it most.  Thank you. -Joe M St Louis, MO",5,1
Cash Net is a good place in helping…,"I am a 62 year old single father with custody. I get no child support at all, and from time to time I run short. CashNet is the most awesome rescue plan I've ever heard of! Thank you cast net!",4,1
I wasn't on the phone line and she was…,"I was able to get results quickly and the customer service rep was excellent. She came across s as friendly, helpful and knowledgeable. She took care of my issue quickly.",5,1
Clearly guided us through every single…,"Spoke to Dale this morning. She answered my questions,  took my payment and walked me through getting a new loan. Great experience!",5,1
She was so patient and I thank…,Very helpful and resolved all my issues thank you,5,1
Solved with no problems.,You always help me before thank you for it,5,1
Excellent service,Truly the easiest was to borrow money because it doesn't take that long to reapply.,4,1
She answered all my questions and she…,This company is a scam and they take advantage of people.  A loan should have one monthly reasonable payment not 3 monthly high payments.  For almost 3 years. DO NOT DO Business with these crooks,5,1
Great Associated,"If I could give less then one star I MOST DEFINITELY would!!! This company is the opitomy of a DISHONEST loan shark!!! I sent a cashiers check to pay off my account and first the man on the phone gave me the WRONG address to send the check. I had to call to get the payoff amount. My check was returned to the bank because of the address and my bank said that this it rather customary because it gives them more time to add interest to your account and at 299% yearly that is can be anywhere from a few dollars and up. Mine got up to $15+ a day while waiting for this HORRID company to fix my account...but they STILL want the interest and refuse to fix it. My bank sent the check out a second time to the correct address and CashNet USA cashed my check but then the next month reversed the check off my account but never returned the funds. Also in going over my account VERY CAREFULLY I found MANY discrepencies. There were a few months where they took payment but NEVER posted it to my account or reversed the payment and never returned the monies. On 1/14/21 my year to date interest was $134.70 with $260.42 charged for the month. Then on 2/11/2021 my year to date interest was $1,053.26 with $322.60 charged in interest for the month. I'm not a math teacher but that doesn't add up. I reached out to the company SEVERAL times to fix these issues but to no avail. Finally I gave up...and they stopped harassing me mid 2021. Well a couple months ago I found out that they sent my account to a collection agency for  an unpaid and delinquent account . I had to go back to my bank to get a copy of the cashed cashier's check dated 10/14/2020. I THINK this is finally settled...but the collection agency is not responding to my emails...so who knows. DO NOT USE THIS COMPANY...but if circumstances in your life require you to use a cash advance loan shark CAREFULLY and DILIGENTLY go over EVERY statement and transaction!!! THIS COMPANY IS EXTREMELY DISHONEST AND HAS HORRIBLE CUSTOMER SERVICE WHEN THEY ARE IN THE WRONG!!!!! BEWARE!!!!!",5,1
The lady that I spoke to took care of…,"Thank you , it was so easy to receive help , and just being able to make payments is so helpful , again thank you very much for being there when I needed you",5,1
I give them the highest Star,The Online Apply for Loan and said I was APPROVED FOR $1500 But when I accepted the LOAN It went another page And it said CONGRATULATIONS YOU'RE APPROVED AND THEN I WENT TO FINALIZE MY LOAN AGREEMENT ON THE NEXT PAGE IT SAID SORRY BUT WE AREN'T ABLE TO GET YOU A LOAN AND THAT'S NOT RIGHT BECAUSE I GETTING THE LOAN TO ATTEND MY BROTHER'S FUNERAL HE PASSED AWAY FROM COVID-19 AND NOW IM SITTING HERE CRYING CAUSE I'M NOT GOING TO BE ABLE TO GO WHAT'S A GUY DOWN ON HIS LUCK WITH THE WORLD DECAYING RIGHT IN FRONT OF ME PANDEMIC I THINK IT JUST MADE IT HARDER FOR A AMERICAN TO BE ABLE TO GET A LOAN!!!🥺😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,5,1
It was great,I was delighted that this person was easy to understand and tried to helpe get it figured all out,5,1
Penny was very nice very sweet and ahe…,Very simple and easy process to get up to $255 overnight,5,1
Very professional.,"Gema.. was very helpful and professional,,,",5,1
Thank you,I ran into a family emergency and needed funds quickly. I applied for a draw and was approved rapidly. The funds were available before 1pm that day and I was able to take care of the issue the very same day.,5,1
The customer service representative…,"Amazing, fast service,affordable payments  I would recommend to anyone needing a little help.",5,1
Great,Customer service was 😃 great ?  When applying agent help me step by step *,5,1
Needed a loan quickly to pay for…,"They help you when you need it most. They are always ready to efficiently take care of any requests considering your account. Best place for financial help, in my opinion.",5,1
Good customer service,Customer service  levita is a professional  customer service representative  she answered all my question and resured me of company policy to my satisfaction as a client. Thank you Cashnet USA for hiring her she was awesome I was very pleased with my service because of her (Levita)5 star rating I honestly  place all my trust in her care  for CashNet USA,5,1
Great service,Good service so far we,5,1
Did a wonderful job,"I definitely would recommend this company, there BBB accredited and certified legit",5,1
They cashnetusa is a good service for…,She was a nice person to me and took her time to listen what I had to say,4,1
CashNetUSA Always Put the customers…,CashNet has always been there for me,5,1
Excellent great help,Great company. Great experience,4,1
I accidentally paid my payment…,They were here in my time of need. Thank you Cashnet,4,1
I was extremely impressed with the…,Cash Net USA is always there when I need them 👍,5,1
Very satisfied,Prompt service....has been a smooth process so far.,5,1
They are amazing!!,Penny was helpful but am not able to complete online application. I have tried numerous times.  Need help,5,1
ONLY CAN SAY..EXCELENT,It allowed me to take care of emergencies.,5,1
Prompt responses,Larrisa new her job well and walked me thru the process.  Thank you,5,1
Cash net USA is a reliable loan and…,She was very clear in expressed in resolving my issue on what I had to do.,5,1
Nice,Great customer service.  Very helpful and gracious.,5,1
Excellent service and helpful when I am…,I was able to talk to Shanice and she was very helpful and polite.,4,1
Easy and fast,"Borrowers beware, the interest rate is astronomical.  In addition, your payment amount changes every month based on the loan amount and the overall experience is great, but don't try to pay the loan off. It's like pulling teeth and nail. So unless you willing to give an arm, leg and a thigh. Don't do it.",5,1
Needed to change my due date and they…,"As stated previously, the loan application went smoothly…the APR was too high.",5,1
I was in a bind and Cash Net was there…,They really work at trying to help you out 🙂,5,1
Helpfully,She was so very helpful. And she made me feel important as a customer.!!!,5,1
They are honest,Hello Erin was very helpful for me today .,5,1
Easy Way to get money you need right away,everything is fine I just need to call 📞 the number given,5,1
I am very thankful that I had staff…,Horrible service and wait time to take out money thats there,5,1
She did her job correct and helped me…,Trey H. Was very knowledgeable patient and answered all questions I had thanks for everything have a good day,5,1
CashNetUSA are very reliable,"Quick, knowledgeable, professional",5,1
Very helpful and courteous,"Great service, willing to work with you.",5,1
Great help,I love CashNetUSA. They help you out when you need them.   Their customer service reps are awesome. Yes I would recommend CashNetUSA to anyone that might need a quick loan.,5,1
You’re the Best Loan company!,Don’t do it most of your money goes towards interest you will be forever paying your account off don’t do it please think about it,5,1
This process was smooth and quick and…,Cindy was very nice and helpful. Problem solved,5,1
He did a great job.,"Helped me avoid a scam using the cashnetusa name. Very helpful, pleasant and knowledgeable. Thank you so much!",5,1
Very easy process!,I encourage cash net usa to continue to hire people like Debra who is not just knowledgeable but upbeat and helpful. That speaks to her ability to communicate and demonstrate excellent customer service skills.,5,1
Good job… I have no complaints!!,Cashnetusa is Awesome!They put People 1st!,5,1
When in need you were there,Your Service was Very Very Prompt !!!  Thank You So Very Much !,4,1
Did my loan went through...is it in my…account now,Pleased with the results of request for funds,5,1
Help me Please!,Very quick and easy and clear on how to solve my financial situation. This is the best place to get your loan on line.,5,1
The customer service is outstanding,"Service is awesome... The way you're kept up to date as far as due dates, available balance and how quickly you're approved and deposited into your account. Only one thing could change and that's keeping your payments the same.",5,1
Very nice and friendly and easy 👍.,Your service is prompt and your representatives are very professional and friendly.  I just wish your interest rates were not so hight.,5,1
Very professional,In a pinch i have funds. Super easy to get finds and make payments.  Make sure you doenload the app. It works the best way for everything. On the web page has some issues. The app is the way to go for everything you need.,5,1
Pleased,"Very professional employees, easy to deal with and willing to help. Web site is very easy to navigate which makes bill pay or money draw very easy. Thank you!",5,1
Thanks for all the help,I'm very please with cash net usa they being there for me when I needed the most thank you,5,1
Decent interaction,"The employee was respectful, polite, and humorous he made me felt comfortable Thanks Andre at CashNetUSA",3,1
Good customer skills dealing with…,I've had nothing but good experiences with CashNet since opening my line up. Customer service has been really good when I've had to call.,5,1
Winona was great,"CashNet…. USA Lives up too it Name… I Need too be there For. Relative… That have been diagnosed with “ Throat Cancer… I Need a financial blessings right away… I call CashNet USA… They Truly Live Ip Too The Commercials That We All See On Television… MyFinanancial Blessings came the same day…. just when I needed it The Most…. Thanks You, Again… Very Humble Customer…..",5,1
Good customer service,Predatory loans not for people who living check to check period so think twice about getting these types of loans.,5,1
This is a good company to work with.,"This is an amazing company, I like that they try to help you all day, customer service is so big right now, I can tell you When you need them they are there for you, I don't usually give feedback,but this time I want everyone to know how wonderful this company is, they won't judge you, they just try to help,if you need some cash check them out, you won't b sorry",5,1
All excellent,"Awesome, very professional",5,1
Helpful,I love cash net!! They are always there for whatever reason I need a little extra money!! They are what has kept us going through the covid-19 pandemic and they are always there for me!!,5,1
They are very nice and answered my…,Even if you are behind on the payment or have an issue they are more than willing to help you through that by listening to what you have to say as a customer and understanding what you and what is needed by them to resolve any issues ..very fast and. Effective. Friendly,5,1
Very helpful and speedy service!,I enjoy CashNetUSA for helping me when I needed extra help.,5,1
Easy,Online I was told I was approved for a loan but when I called on the phone I was informed I was denied,5,1
Very professional,"I've been a customer for a long time and have enjoyed everyday of it. It's so very easy to do business with this company. You can do all of your transactions on line. But, if you choose to talk directly that is very easy also. Customer service is fantastic!",5,1
They are very polite and courtesy and…,Everyone has been so helpful when I needed help. Thank u,5,1
Patient with me using the computer…,Have tried to get a loan and never did they have sent me offers to apply and got nothing,5,1
Go to for loans!,Simple but thorough process. Would highly recommend!,5,1
Very helpful and fixed my issue within…,Time being recorded incorrect when making a draw. Need to be more specific about draw being deposited in the account.,5,1
Awesome company,Cashnetusa takes care of business. They are very helpful and professional.,5,1
She was awesome,Service with Alex was excellent he go the job done for me I recommend CashNetUSA thanks,5,1
CashNet is the best emergency loan I’ve…,A cash loan would be good for me now as I'm closing in on buying a car. Got a Pre-Approval Notification in the mail; thought it was perfect timing.,5,1
Netspend sent me a pre-approval,Since communicated return back in your business relationship it been amazing,5,1
My issue was solved to my satisfaction.,Thank you guy's for Helping me out when I Needed it most!!!,5,1
Fast customer service reply,Y'all turn me down and I just needed one hundred dollars,4,1
Great listener and was very helpful in…,"Fast and very responsive to my questions, love your team 😀😀😀",5,1
Glad my information is private when…,They was there whenever I need you needed them the most and continue to help me every time I ask for it great place,5,1
A great place to get payday loans…,Easy on getting my loan and very friendly.,5,1
Great service knowledgeable employees,I have called 2 times and each time they have been very helpful and friendly will definitely recommend them,5,1
Very satisfied,One of the best things that can ever come about.,5,1
The loan process was quick and easy,Carolyn was AWESOME!,5,1
Patient kind and very helpful,Excellent customer service,5,1
Alex was very helpful and patient with…,"Thanks Cashnetusa, if I ever need a loan. I know customer service is available via chat now and it’s really helpful and thanks for everything!!",5,1
Fast,She was straightforward and efficient.,5,1
Excellent,Was very helpful.  Helped me by verifying my account.,5,1
Resolved issue very efficiently,High interest. Multiples twice a month. Knows its hard to pay back on time. Expect to pay 200% or more back on loans here. My advice dont use unless truly desperate.,5,1
I’m very happy with the help I got…,Payback is 3 times initial loan. WhT a rip off 😪,5,1
I try to put in for a loan I think I do…,I've had nothing but good experiences with these folks,5,1
Polite,I needed to give my new bank account information,5,1
Thanks for everything.,"We greatly appreciate and are most thankful for your excellent service and help to us, your clientele of cashnetusa.A million thanks to you and, may God bless your good office more.Gratefully yours,Maria Teresa Joseph",5,1
There very reliable and helpful.,Easy and effective communication. Very fast and friendly service. I would highly recommend this to anyone who needed a line of credits..,5,1
You guys were very helpful and…,This company has always treated me well. And are easy to talk with.,5,1
Wonderful,I'm done for now thank you just to say I'll try later today before end of day all in all everything was great I'm weighing my options,5,1
I had no issues,I have been working with them over 1 year and they have enabled me to survive difficult times in a safe and shameless manner.Thank you,5,1
Great customer service.,Today I received a call from a nice and friendly representative for cash net USA she was very helpful and thorough,5,1
I have no negative comments about…,I love it. She was very nice and very professional.,5,1
Money was deposited on time.,It was GRREATTTTTTTTTT!!!!!!!!!!!!!!!!!!!!!,5,1
They make it so easy to get the money…,Very professional and extremely quick service. Was able to find loan on the same day.,5,1
I just want to thank you guys for all…,Very helpful. Solved my problem very quickly and was extremely friendly!,4,1
If you need some help or have an…,They were able to help me in a timely manner.,5,1
I love how its really legit,Great company I was in a bind needed money and they helped right away.,5,1
Easiest experience i have ever,"Cash Net USA did what they were supposed to do. but how they did it was compassionate, with empathy, with respect. when I called it was like talking to a friend who understood my problem. then Cash Net USA offered Solutions.",5,1
Very easy to get funds.,Helped us out in our time of need. Thank you.,5,1
Very good,I've dealt with this loan before and I'll keep going back because of their professionalism,5,1
she did great,Linda was extremely helpful and spoke with a pleasant tone of voice.,5,1
money was taken out of my checking…,A GREAT COMPANY THAT UNDERSTANDS PEOPLE PROBLEMS..AND WILL HELP WITH A CUSTOMER PROBLEMS THEY MAY HAVE..,4,1
Very easy and fast,This company is highway robbers for a 1000 loan I paid back 3500 if you get paid weekly it might be okay but if not the interest fee for is a extra 114 a week I wouldn’t suggest no one use this company it’s truly a get over,5,1
Very good service,Great help and truly a 1 day loan for people struggling with their credit so thank you,5,1
It wasn't the experience I got the…,I've told you twice what I thought I'm not going to say it a third time,3,1
Best  agent,I made a withdraw from my account by mistake. Called Cash Net to cancel withdraw and issue was resolved/canceled immediately.,5,1
I needed funds and Cashnet made those…,Cash Net USA online help and telephone help a very professional and understanding your situation they are the best,5,1
It was very Helpful,Jeremiah's help was Excellent!! Need more Reps like him. Peace MaryCanDee Bradford,5,1
Awesome,Very bad company they rob you and misleading,5,1
Agent was knowledgeable and courteous…,Very fast an accurate an is trustworthy one of a kind,5,1
Easy and quick to apply and they call…,Alexis did a wonderful job speaking with me. This was my first time going through this process. She handled it very well. Thanks Cash Net USA. :-),5,1
Great Experience,Everything went smooth and as expected.Was treated well and courteously.,5,1
Quick & professional,Fast and easy transaction.Hoping for installment loan in Nevada though. But overall fast and easy transaction,5,1
Questions,A great place to get a loan and I appreciate the help,4,1
When need help this is good company…,How can you call yourself cash net USA when you don't even help people who live in WASHINGTON? And why are you able to advertise on my Facebook I think this a joke you need to change your name.,5,1
Helpful,Elizabeth was very helpful and all I'm waiting for is the deposit. Thank you.,5,1
Your Representative was Extremely…,Excellent process! I’m impressed 👍,5,1
CashNet USA is a very good company to…,"I've never had any issues with the service. I've taken out a few loans through the years, it is fast efficient and quickly deposited everytime. With the right information presented. I would advise paying back in full quickly, the interest rate is pretty funny. They will also work with you, if you miss payments or need adjustments made.",5,1
She nice and helpful,Always good service glad to have you to depend on,5,1
My go to when I need a little extra cash,"I have been scamed by other loan companies/agencies for thousands of dollars 💸 and I am in debt still from them because I received money from check loans to deposit money on prepaid cards so I could activate and receive a larger amount of money for deposit of money to to prepaid debit card I am now in debt about 4,000 dollars in check loans and personal loans!!!😇",5,1
Overall she was absolutely great at…,Easy to use and understand. Interest rates a little high,5,1
Next day money,Cash Net USA help me and was very patient although I had very little knowledge of how a loan actually works.❤️❤️❤️❤️,5,1
I'm thankful for what they did n helped…,Through CashNet Trustpilot is an excellent idea.,5,1
I just love them,Very helpful and professional. Able to help when I needed money.,5,1
I am so grateful for cashnetusa.,Outstanding Customer Service from Jasmine,5,1
Fast and helpful service,I had car trouble so I went to them and they help me right away  they can count on them,5,1
They are very nice and helpful,I thank cashnetusa for giving me a chance,5,1
Help,"I need to sign in, with my new pin.",4,1
I have found CashNetUSA,Customer service with the individual I spoke to was excellent!!  She helped me resolve the issue I was having and was VERY friendly and understanding.  I would recommend anyone who is having issues to talk to her!!,5,1
I had to chat with Cashnet regarding…,It came in excellent time when I needed it!,5,1
Nothing happened I asked and received,"My second time using cashnet and I thank them for there help the process was fast, friendly and the agent was excellent very nice and took care of me quickly Thanks again cashnetBilly sizemore",5,1
EXCELLENT SERVICE,Courteous professional answered questions concerns with KNOWLEDGE very satisfied.,5,1
